Precinct,obama,romney,johnson,stein,other,totalvotes,PrecinctName,StateName,StateAbbr,dPct,rPct,leanD,leanR,otherPct,dDRPct,rDRPct
01-135,192,854,32,6,9,1093,Chena Lakes,AK,AK,0.175663311985,0.781335773102,0.224824355972,4.44791666667,0.00823421774931,0.183556405354,0.816443594646
01-145,109,369,5,1,9,493,Eielson,AK,AK,0.221095334686,0.748478701826,0.29539295393,3.38532110092,0.0182555780933,0.228033472803,0.771966527197
01-155,43,162,13,1,4,223,Moose Creek,AK,AK,0.192825112108,0.726457399103,0.265432098765,3.76744186047,0.0179372197309,0.209756097561,0.790243902439
01-165,213,1009,39,6,10,1277,Newby,AK,AK,0.166797180893,0.790133124511,0.211100099108,4.73708920188,0.00783085356304,0.174304418985,0.825695581015
01-175,156,494,13,1,3,667,North Pole,AK,AK,0.233883058471,0.740629685157,0.315789473684,3.16666666667,0.00449775112444,0.24,0.76
01-183,166,842,27,3,11,1049,Plack,AK,AK,0.158245948522,0.80266920877,0.197149643705,5.07228915663,0.0104861773117,0.164682539683,0.835317460317
01-195,45,215,5,3,6,274,Salcha No. 1,AK,AK,0.164233576642,0.784671532847,0.209302325581,4.77777777778,0.021897810219,0.173076923077,0.826923076923
01-Early,128,372,11,1,2,514,Voting,AK,AK,0.249027237354,0.72373540856,0.344086021505,2.90625,0.00389105058366,0.256,0.744
02-235,202,695,25,7,12,941,Badger No. 1,AK,AK,0.214665249734,0.738575982997,0.290647482014,3.44059405941,0.0127523910733,0.22519509476,0.77480490524
02-245,146,357,13,3,15,534,Fox,AK,AK,0.2734082397,0.668539325843,0.408963585434,2.44520547945,0.0280898876404,0.290258449304,0.709741550696
02-255,360,653,38,15,14,1080,Steele Creek/Gilmore,AK,AK,0.333333333333,0.60462962963,0.551301684533,1.81388888889,0.012962962963,0.35538005923,0.64461994077
02-265,275,662,32,7,9,985,Steese East,AK,AK,0.279187817259,0.672081218274,0.415407854985,2.40727272727,0.00913705583756,0.293489861259,0.706510138741
02-270,734,1081,42,24,17,1898,Steese West,AK,AK,0.386722866175,0.569546891465,0.679000925069,1.4727520436,0.00895679662803,0.404407713499,0.595592286501
02-275,131,353,23,6,13,526,Two Rivers,AK,AK,0.249049429658,0.671102661597,0.371104815864,2.69465648855,0.0247148288973,0.270661157025,0.729338842975
02-Early,657,667,22,9,15,1370,Voting,AK,AK,0.479562043796,0.486861313869,0.985007496252,1.01522070015,0.0109489051095,0.496223564955,0.503776435045
03-345,214,546,33,11,13,817,Badger No. 2,AK,AK,0.261933904529,0.668298653611,0.391941391941,2.55140186916,0.015911872705,0.281578947368,0.718421052632
03-355,244,345,15,5,10,619,Fairbanks No. 8,AK,AK,0.394184168013,0.557350565428,0.707246376812,1.41393442623,0.016155088853,0.414261460102,0.585738539898
03-365,366,622,26,8,12,1034,Fairbanks No. 9,AK,AK,0.353965183752,0.601547388781,0.588424437299,1.69945355191,0.0116054158607,0.37044534413,0.62955465587
03-375,177,386,19,2,2,586,Fort Wainwright,AK,AK,0.30204778157,0.658703071672,0.458549222798,2.18079096045,0.00341296928328,0.314387211368,0.685612788632
